Event Name,Date,Month,Venue,Venue2,Level of Licence,WA,Entry Details,Licence Number,Longitude,Latitude
North East Grand Prix,14-Jun,Jun,Monkton Stadium,Jarrow,1,,https://necaa.weebly.com/,OUT 23/157,-1.497931582,54.9656323
Isle of Man League,14-Jun,Jun,National Sports Centre (IOM),Douglas,1,,,OUT 23/224,-4.504653,54.152616
Chelmsford Open Meeting ,14-Jun,Jun,Chelmsford Sport & Athletics Centre,Chelmsford,1,,,OUT 23/240,0.4505023408,51.75319275
BMC Regional Race,14-Jun,Jun,Paula Radcliffe Athletics Stadium,Loughborough,1,,https://www.britishmilersclub.com/,OUT 23/320,-1.230372,52.769183
Rosenheim League - West,14-Jun,Jun,King Georges Rec Ground (Ewell Court),Ewell,1,,,OUT 23/350,-0.2650625,51.3583125
Rosenheim League - East,14-Jun,Jun,David Weir Leisure Centre (formerly Sutton Arena),Carshalton,1,,,OUT 23/350,-0.1814375,51.3841875
Northern Ireland & Ulster Senior TF Championships,16-Jun,Jun,Mary Peters Stadium,Belfast,2,WA E,,OUT 23/045,-5.967179,54.548531
Reading AC Development League,16-Jun,Jun,Palmer Park Athletic Track,Reading,1,,,OUT 23/305,-0.9696512,51.456659
Northern Ireland & Ulster Senior TF Championships,17-Jun,Jun,Mary Peters Stadium,Belfast,2,WA E,,OUT 23/045,-5.967179,54.548531
BWAA Grand Prix Series,17-Jun,Jun,Stoke Mandeville Stadium,Stoke Mandeville,2,,,OUT 23/089,-0.784342,51.787885
scottishathletics Throws & Jumps Grand Prix 3,17-Jun,Jun,Caird Park,Dundee,2,WA F,,OUT 23/152,-2.962615327,56.4862297
North East Masters AA Championships,17-Jun,Jun,Monkton Stadium,Jarrow,1,,https://www.nemaa.co.uk/track-and-field.html,OUT 23/204,-1.497931582,54.9656323
England Athletics U20 Championships & U20 Open,17-Jun,Jun,Chelmsford Sport & Athletics Centre,Chelmsford,2,WA,https://www.englandathletics.org/athletics-and-running/england-competitions/national-championships/2023-championships-calendar-and-results/,OUT 23/290,0.4505023408,51.75319275
Mid Lancs Track & Field League,17-Jun,Jun,Litherland Athletics Track,Litherland,1,,http://www.midlancs.org.uk/,OUT 23/352,-2.9868125,53.4790625
Kent Young Athletes League Division 1,17-Jun,Jun,Norman Park Athletic Track,Bromley,1,,,OUT 23/357,0.0213125,51.3868125
Kent Young Athletes League Division 2,17-Jun,Jun,Norman Park Athletic Track,Bromley,1,,,OUT 23/357,0.0213125,51.3868125
Northern Track & Field League East 1S,18-Jun,Jun,Moorways Athletics Stadium,Derby,1,,https://www.northernathletics.co.uk/track-field-league/,OUT 23/028,-1.457212,52.891228
Northern Track & Field League East 1N,18-Jun,Jun,Princess Mary Athletic Stadium,Cleckheaton,1,,https://www.northernathletics.co.uk/track-field-league/,OUT 23/029,-1.7140939,53.7264346
Northern Track & Field League West Premier,18-Jun,Jun,The Oval Stadium,Bebington,1,,https://www.northernathletics.co.uk/track-field-league/,OUT 23/030,-3.0098125,53.3579375
Northern Track & Field League West 2,18-Jun,Jun,Sheepmount Athletics Stadium,Carlisle,1,,https://www.northernathletics.co.uk/track-field-league/,OUT 23/031,-2.947561,54.902903
Northern Track & Field League North East 1,18-Jun,Jun,Churchill,Whitley Bay,1,,https://www.northernathletics.co.uk/track-field-league/,OUT 23/032,-1.4620499,55.045704
Northern Track & Field League East Premier,18-Jun,Jun,Shu City Athletics Stadium (Woodbourn Road),Sheffield,1,,https://www.northernathletics.co.uk/track-field-league/,OUT 23/044,-1.4324375,53.3894375
Southern Athletics League Division 3 West,18-Jun,Jun,County Ground Track - Swindon,Swindon,1,,https://www.southernathletics.org.uk/,OUT 23/060,-1.77101507,51.56446595
Southern Athletics League Division 2 North & East,18-Jun,Jun,Westminster Lodge Athletics Track,St. Albans,1,,https://www.southernathletics.org.uk/,OUT 23/070,-0.344495,51.745663
Southern Athletics League Division 2 North & East,18-Jun,Jun,Dacorum Athletics Track (Jarman Park),Hemel Hempstead,1,,https://www.southernathletics.org.uk/,OUT 23/070,-0.457736,51.746359
Southern Athletics League Division 2 North & East,18-Jun,Jun,Mile End Stadium,Mile End,1,,https://www.southernathletics.org.uk/,OUT 23/070,-0.03276773025,51.5190224
Northern Track & Field League West 1S,18-Jun,Jun,Wavertree Athletic Track,Liverpool,1,,https://www.northernathletics.co.uk/track-field-league/,OUT 23/075,-2.9239375,53.3958125
Northern Track & Field League West 1N,18-Jun,Jun,Market Street Athletics Track,Bury,1,,https://www.northernathletics.co.uk/track-field-league/,OUT 23/084,-2.323851,53.591353
Scottish National Athletics League ,18-Jun,Jun,Grangemouth Sports Stadium,Grangemouth,2,WA F,,OUT 23/097,-3.7081875,56.0053125
Northern Track & Field League North East Premier,18-Jun,Jun,Shildon - Stadium 2000,Shildon,1,,https://www.northernathletics.co.uk/track-field-league/,OUT 23/107,-1.648251,54.632837
Northern Track & Field League East 2,18-Jun,Jun,Dorothy Hyman Sports Centre,Cudworth,1,,https://www.northernathletics.co.uk/track-field-league/,OUT 23/120,-1.411029309,53.57425995
Midland Counties League Technical Events,18-Jun,Jun,The Pingles Stadium,Nuneaton,1,,https://midland-athletics.co.uk/disciplines/league/,OUT 23/170,-1.464162493,52.515688
Southern Athletics League Divisions 3 Kent,18-Jun,Jun,Lewes Community Athletics Track,Lewes,1,,https://www.southernathletics.org.uk/,OUT 23/226,0.018633,50.868186
Southern Athletics League Divisions 3 South,18-Jun,Jun,Lewes Community Athletics Track,Lewes,1,,https://www.southernathletics.org.uk/,OUT 23/226,0.018633,50.868186
England Athletics U20 Championships & U20 Open,18-Jun,Jun,Chelmsford Sport & Athletics Centre,Chelmsford,2,WA,https://www.englandathletics.org/athletics-and-running/england-competitions/national-championships/2023-championships-calendar-and-results/,OUT 23/290,0.4505023408,51.75319275
Southern Athletics League Division 1,18-Jun,Jun,Thames Valley Athletics Centre (Eton),Eton,1,,https://www.southernathletics.org.uk/,OUT 23/341,-0.5959682922,51.49453235
Southern Athletics League Division 1,18-Jun,Jun,Bannister Sports Centre,Harrow,1,,https://www.southernathletics.org.uk/,OUT 23/341,-0.3521277401,51.61165605
Southern Athletics League Division 1,18-Jun,Jun,Linford Christie Stadium,Wormwood Scrubs,1,,https://www.southernathletics.org.uk/,OUT 23/341,-0.235065,51.519692
Southern Athletics League Division 3 North,18-Jun,Jun,Cambridge University Athletics Track,Cambridge,1,,https://www.southernathletics.org.uk/,OUT 23/349,0.098906,52.206767
Southern Athletics League Division 3 North,18-Jun,Jun,Stockwood Park Stadium,Luton,1,,https://www.southernathletics.org.uk/,OUT 23/349,-0.425003,51.864491
Southern Athletics League Division 3 North - No Pole Vault,18-Jun,Jun,Southend Leisure & Tennis Centre Athletics Track,Southend,1,,https://www.southernathletics.org.uk/,OUT 23/349,0.73458859,51.5546036
Southern Counties VAC League - Hampshire Division,19-Jun,Jun,University of Winchester,Winchester,1,,https://www.hampshirevetsleague.org.uk/,OUT 23/133,-1.3038125,51.05431249
Southern Counties VAC League - Mid-London Division,19-Jun,Jun,Millenium Arena Battersea Park,Battersea Park,1,,,OUT 23/195,-0.146969,51.47698
Invicta East Kent AC Open Meeting,19-Jun,Jun,Canterbury High School,Canterbury,1,,https://invictaeastkentac.org.uk/index.php,OUT 23/312,1.0634828,51.2793854
Southern Counties Veterans League - South London Division,19-Jun,Jun,David Weir Leisure Centre (formerley Sutton Arena),Carshalton,1,,,OUT 23/325,-0.1814375,51.3841875
North Yorkshire & South Durham Series,20-Jun,Jun,Shildon - Stadium 2000,Shildon,1,,http://www.nysd.org.uk/category/track-field/,OUT 23/213,-1.648251,54.632837
Kettering Town Harriers Evening Open,20-Jun,Jun,Kettering Athletics Track,Kettering,1,,https://entry4sports.co.uk/#/,OUT 23/318,-0.717797,52.396803
Waverley Summer Jumps,20-Jun,Jun,Woolmer Hill Recreation Ground,Haslemere,1,,,OUT 23/348,-0.74831249,51.0944375
West Yorkshire League,21-Jun,Jun,Thornes Park Athletics Stadium,Wakefield,1,,www.wakefield -harriers.co.uk/wytfl/wyl23index.htm,OUT 23/078,-1.51464,53.67606
BMC Regional Meeting,21-Jun,Jun,Sutcliffe Park Athletics Track,Eltham,1,,https://www.britishmilersclub.com/,OUT 23/185,0.0541253,51.4505687
British Milers Regional Meeting,21-Jun,Jun,Linford Christie Stadium,Wormwood Scrubs,1,,https://www.britishmilersclub.com/,OUT 23/256,-0.235065,51.519692
British Milers Club Regional Race,21-Jun,Jun,Bracknell Sports & Leisure Centre Athletics Stadium,Bracknell,1,,https://www.britishmilersclub.com/,OUT 23/262,-0.7449925,51.4143513
Thames Valley Harriers Open Meeting,21-Jun,Jun,Linford Christie Stadium,Wormwood Scrubs,1,,https://entry4sports.co.uk/#/,OUT 23/327,-0.235065,51.519692
The Manchester Mile,21-Jun,Jun,Manchester Regional Athletics Arena,Sportcity,1,,,OUT 23/339,-2.2039375,53.4838125
Shropshire Young Athletes League,22-Jun,Jun,Telford Athletics Stadium,Telford,1,,,OUT 23/310,-2.449812,52.7073978
Shropshire Young Athlete's League,22-Jun,Jun,Telford Athletics Stadium,Telford,1,,,OUT 23/353,-2.449812,52.7073978
Tommy Clay Development Meeting,23-Jun,Jun,Princess Royal Sports Arena (DABSI),Boston,1,,,OUT 23/052,-0.069759,52.9771639
Southern Counties Veterans AC Kent Division 1,23-Jun,Jun,Norman Park Athletic Track,Bromley,1,,http://www.scvac.org.uk/track.htm,OUT 23/286,0.0213125,51.3868125
Southern Counties Veterans AC Kent Division 2,23-Jun,Jun,Norman Park Athletic Track,Bromley,1,,http://www.scvac.org.uk/track.htm,OUT 23/286,0.0213125,51.3868125
Trafford Medal Meetings,24-Jun,Jun,Longford Park Athletics Stadium,Stretford,1,,https://www.traffordac.co.uk/php/index.php?script=home.php,OUT 23/022,-2.28935,53.44636
MilesofMiles ,24-Jun,Jun,Chelmsford Sport & Athletics Centre,Chelmsford,1,,,OUT 23/137,0.4505023408,51.75319275
Middlesex Young Athletes League,24-Jun,Jun,Finsbury Park,Finsbury Park,1,,,OUT 23/277,-0.1010625,51.5715625
Eastern AA Championships,24-Jun,Jun,Cambridge University Athletics Track,Cambridge,2,,https://www.race-results.co.uk/results/2023/,OUT 23/359,0.098906,52.206767
Notts Mini League,24-Jun,Jun,Bingham Athletics Track,Bingham,1,,,OUT 23/364,-0.9509375,52.9461875
Wessex Young Athletes' League,25-Jun,Jun,Down Grange Athletic Track,Basingstoke,1,,https://www.wessexleaguetandf.co.uk/,OUT 23/038,-1.1265625,51.2483125
Wessex Young Athletes' League,25-Jun,Jun,Oxford Horspath Athletics Stadium,Horspath,1,,https://www.wessexleaguetandf.co.uk/,OUT 23/038,-1.1871875,51.7374375
Wessex Young Athletes' League,25-Jun,Jun,Ashdown Leisure Centre,Poole,1,,https://www.wessexleaguetandf.co.uk/,OUT 23/038,-1.9664201,50.7487411
North East Youth Development League - Division 1,25-Jun,Jun,Shildon - Stadium 2000,Shildon,1,,http://www.neydl.website,OUT 23/048,-1.648251,54.632837
North East Youth Development League - Division 2,25-Jun,Jun,Monkton Stadium,Jarrow,1,,http://www.neydl.website,OUT 23/048,-1.497931582,54.9656323
4J Studios scottishathletics National Relay Championships,25-Jun,Jun,Scotstoun Stadium,Scotstoun,2,,https://scottishathletics.sportserve.net/pages/event/athletics/athleticsfixturelist.aspx?pid=10000,OUT 23/103,-4.342293155,55.88168955
Yorkshire & District League 1,25-Jun,Jun,Dorothy Hyman Sports Centre,Cudworth,1,,,OUT 23/146,-1.411029309,53.57425995
Yorkshire & District League Division 2,25-Jun,Jun,Dorothy Hyman Sports Centre,Cudworth,1,,,OUT 23/146,-1.411029309,53.57425995
Avon League,25-Jun,Jun,Yate Outdoor Sports Complex,Yate,1,,http://s250914043.websitehome.co.uk/avonleague/,OUT 23/198,-2.4243125,51.55581249
Aztec Track & Field Series,25-Jun,Jun,Footes Lane (Garenne Stand),St. Peter Port,1,,,OUT 23/230,-2.5639734,49.4645552
UK Youth Development League Upper - Southern Premier,25-Jun,Jun,Norman Park Athletic Track,Bromley,2,WA F,,OUT 23/258,0.0213125,51.3868125
Southern Counties VAC League - Herts & North Middlesex Division,26-Jun,Jun,Ridlins Wood Athletics Track,Stevenage,1,,,OUT 23/326,-0.2027155,51.9016663
Trafford Grand Prix,27-Jun,Jun,Longford Park Athletics Stadium,Stretford,2,WA F,https://www.traffordac.co.uk/php/index.php?script=home.php,OUT 23/065,-2.28935,53.44636
Exeter Evening Open Meeting,27-Jun,Jun,Exeter Arena,Exeter,1,,https://exeterharriers.org.uk/events/exeter-open-competitions/,OUT 23/342,-3.491320974,50.73765245
BMC Regional - Exeter,27-Jun,Jun,Exeter Arena,Exeter,1,,https://www.britishmilersclub.com/,OUT 23/344,-3.491320974,50.73765245
Watford Harriers Open Graded Meetings,28-Jun,Jun,Woodside Stadium,Watford,2,WA F,,OUT 23/092,-0.3945440682,51.69587595
Watford Open Field Events,28-Jun,Jun,Woodside Stadium,Watford,1,,,OUT 23/100,-0.3945440682,51.69587595
Isle of Man League,28-Jun,Jun,National Sports Centre (IOM),Douglas,1,,,OUT 23/224,-4.504653,54.152616
Newham & Essex Beagles Track Open Meetings Summer Series 2023,30-Jun,Jun,London Marathon Community Track,London (CT),2,WA,https://entry4sports.co.uk/,OUT 23/143,-0.016941,51.536909
Northern Ireland & Ulster Combined Event Championships,1-Jul,Jul,Mary Peters Stadium,Belfast,2,WA F,,OUT 23/046,-5.967179,54.548531
National Junior Athletics Championships ,1-Jul,Jul,Coventry Athletic Track - University of Warwick,Coventry,2,,,OUT 23/083,-1.510477,52.4081812
BMC Grand Prix - World Athletics Challenger,1-Jul,Jul,Woodside Stadium,Watford,2,WA D,https://www.britishmilersclub.com/,OUT 23/182,-0.3945440682,51.69587595
Cumbria League No pole vault/hammer/discus,1-Jul,Jul,Barrow in Furness Academy,Barrow,1,,,OUT 23/337,-3.220656,54.117804
Northern Track & Field League West Premier,2-Jul,Jul,Witton Park Track,Blackburn,1,,https://www.northernathletics.co.uk/track-field-league/,OUT 23/030,-2.5148125,53.7391875
Wessex Young Athletes' League,2-Jul,Jul,Aldershot Military Stadium,Aldershot,1,,https://www.wessexleaguetandf.co.uk/,OUT 23/038,-0.7545890271,51.26467925
Wessex Young Athletes' League,2-Jul,Jul,Fairway Athletics Centre,Sandown,1,,https://www.wessexleaguetandf.co.uk/,OUT 23/038,-1.1655271,50.6588065
Northern Ireland & Ulster Combined Event Championships,2-Jul,Jul,Mary Peters Stadium,Belfast,2,WA F,,OUT 23/046,-5.967179,54.548531
Pontefract Open Meeting,2-Jul,Jul,Dorothy Hyman Sports Centre,Cudworth,1,,,OUT 23/050,-1.411029309,53.57425995
Eastern Young Athletes League,2-Jul,Jul,Embankment Athletics Track,Peterborough,1,,http://eyal.org.uk/,OUT 23/061,-0.233043,52.570904
Eastern Young Athletes League,2-Jul,Jul,Chelmsford Sport & Athletics Centre,Chelmsford,1,,http://eyal.org.uk/,OUT 23/061,0.4505023408,51.75319275
Eastern Young Athletes League,2-Jul,Jul,Hornchurch Stadium,Hornchurch,1,,http://eyal.org.uk/,OUT 23/061,0.2383170571,51.5565905
Eastern Young Athletes League,2-Jul,Jul,Westminster Lodge Athletics Track,St. Albans,1,,http://eyal.org.uk/,OUT 23/061,-0.344495,51.745663
National Junior Athletics Championships ,2-Jul,Jul,Coventry Athletic Track - University of Warwick,Coventry,2,,,OUT 23/083,-1.510477,52.4081812
Alder Valley League,2-Jul,Jul,Thames Valley Athletics Centre (Eton),Eton,1,,,OUT 23/239,-0.5959682922,51.49453235
137th Wenlock Olympian Games,2-Jul,Jul,William Brookes Academy - Much Wenlock,Much Wenlock,1,,https://data.opentrack.run/en-gb/x/2023/GBR/wenlockgames/,OUT 23/251,-2.557436,52.596267
Huntingdonshire AC Club Championships,2-Jul,Jul,"One Leisure Outdoor Centre, St. Ives",St. Ives,1,,,OUT 23/272,-0.092947,52.336512
North East Masters AA League,3-Jul,Jul,Monkton Stadium,Jarrow,1,,https://www.nemaa.co.uk/track-and-field.html,OUT 23/205,-1.497931582,54.9656323
National Preparatory Schools Athletics Championships,3-Jul,Jul,The Pingles Stadium,Nuneaton,1,,,OUT 23/294,-1.464162493,52.515688
RJT & NMAC Series Sheffield 2023,4-Jul,Jul,Shu City Athletics Stadium (Woodburn Road),Sheffield,1,,https://www.race-results.co.uk/results/2023/67,OUT 23/295,-1.4324375,53.3894375
Oxon & Bucks Midweek Open Meeting,5-Jul,Jul,Oxford Horspath Athletics Stadium,Horspath,1,,https://www.rosterathletics.com/,OUT 23/114,-1.1871875,51.7374375
Eastern Masters League,5-Jul,Jul,Lynnsport Athletics Track,King's Lynn,1,,https://emac.org.uk/2023-tf-league/,OUT 23/215,0.3954774,52.7538673
Eastern Masters League,5-Jul,Jul,Bedford International Athletics Stadium,Bedford,1,,https://emac.org.uk/2023-tf-league/,OUT 23/215,-0.4418125,52.1336875
Eastern Masters League,5-Jul,Jul,West Suffolk Athletics Arena,Bury St. Edmunds,1,,https://emac.org.uk/2023-tf-league/,OUT 23/215,0.6994769977,52.25094525
Shropshire Young Athlete's League,6-Jul,Jul,Willam Brookes Academy - Much Wenlock,Much Wenlock,1,,,OUT 23/353,-2.5578451,52.5955951
Tommy Clay Development Meeting,7-Jul,Jul,Princess Royal Sports Arena (DABSI),Boston,1,,,OUT 23/052,-0.069759,52.9771639
"Northern 10,000m Championships ",7-Jul,Jul,Leigh Sports Village,Leigh,2,WA F,https://www.northernathletics.co.uk/#,OUT 23/066,-2.5305682,53.4883788
Southern Counties Veterans AC Kent Division 1,7-Jul,Jul,Tonbridge School Athletics Track,Tonbridge,1,,http://www.scvac.org.uk/track.htm,OUT 23/286,0.275167,51.200872
Southern Counties Veterans AC Kent Division 2,7-Jul,Jul,Tonbridge School Athletics Track,Tonbridge,1,,http://www.scvac.org.uk/track.htm,OUT 23/286,0.275167,51.200872
"Gloucester Track Races 100km, 50km & Marathon",8-Jul,Jul,Blackbridge Athletics Track,Gloucester,2,,https://eventswerun.co.uk/100km-50km-marathon,OUT 23/005,-2.235105,51.853862
"4J Studios scottishathletics Combined Events, Masters & Parallel Success Open",8-Jul,Jul,Grangemouth Sports Stadium,Grangemouth,2,WA F,https://scottishathletics.sportserve.net/pages/event/athletics/athleticsfixturelist.aspx?pid=10000,OUT 23/126,-3.7081875,56.0053125
ESAA English Schools AA Cup,8-Jul,Jul,Chelmsford Sport & Athletics Centre,Chelmsford,2,,https://esaa.org.uk/,OUT 23/354,0.4505023408,51.75319275
John Matthews & Mike Swain Memorial Jumps & Throws  Open Meeting,8-Jul,Jul,Thornes Park Athletics Stadium,Wakefield,1,,https://www.race-results.co.uk/results/2023/,OUT 23/363,-1.51464,53.67606
Northern Track & Field League East 1S,9-Jul,Jul,Keepmoat Stadium,Doncaster,1,,https://www.northernathletics.co.uk/track-field-league/,OUT 23/028,-1.113771303,53.50977845
Northern Track & Field League East 1N,9-Jul,Jul,University of York,York,1,,https://www.northernathletics.co.uk/track-field-league/,OUT 23/029,-1.031459294,53.9453903
Northern Track & Field League West 2,9-Jul,Jul,Manchester Regional Athletics Arena,Sportcity,1,,https://www.northernathletics.co.uk/track-field-league/,OUT 23/031,-2.2039375,53.4838125
Northern Track & Field League North East 1,9-Jul,Jul,Monkton Stadium,Jarrow,1,,https://www.northernathletics.co.uk/track-field-league/,OUT 23/032,-1.497931582,54.9656323
Northern Track & Field League East Premier,9-Jul,Jul,Costello Stadium,Hull,1,,https://www.northernathletics.co.uk/track-field-league/,OUT 23/044,-0.4107359,53.7372742
Southern Athletics League Division 3 West,9-Jul,Jul,Charlton Centre Athletics Track,Andover,1,,https://www.southernathletics.org.uk/,OUT 23/060,-1.5098125,51.2201875
Southern Athletics League Division 2 North & East,9-Jul,Jul,Westminster Lodge Athletics Track,St. Albans,1,,https://www.southernathletics.org.uk/,OUT 23/070,-0.344495,51.745663
Southern Athletics League Division 2 North & East,9-Jul,Jul,Ridlins Wood Athletics Track,Stevenage,1,,https://www.southernathletics.org.uk/,OUT 23/070,-0.2027155,51.9016663
Southern Athletics League Division 2 North & East,9-Jul,Jul,Central Park Athletics Arena,Dartford,1,,https://www.southernathletics.org.uk/,OUT 23/070,0.220864,51.441631
Northern Track & Field League West 1S,9-Jul,Jul,The Sports Centre - Edge Hill University,Ormskirk,1,,https://www.northernathletics.co.uk/track-field-league/,OUT 23/075,-2.867699,53.557479
Northern Track & Field League West 1N,9-Jul,Jul,Witton Park Track,Blackburn,1,,https://www.northernathletics.co.uk/track-field-league/,OUT 23/084,-2.5148125,53.7391875
Northern Track & Field League North East Premier,9-Jul,Jul,Middlesbrough Sports Village,Middlesbrough,1,,https://www.northernathletics.co.uk/track-field-league/,OUT 23/107,-1.210556246,54.54434965
Northern Track & Field League East 2,9-Jul,Jul,Newark Sports Village,Newark,1,,https://www.northernathletics.co.uk/track-field-league/,OUT 23/120,-0.8000625,53.0620625
"4J Studios scottishathletics Combined Events, Masters & Parallel Success Open",9-Jul,Jul,Grangemouth Sports Stadium,Grangemouth,2,WA F,https://scottishathletics.sportserve.net/pages/event/athletics/athleticsfixturelist.aspx?pid=10000,OUT 23/126,-3.7081875,56.0053125
Midland Counties League Division 1,9-Jul,Jul,Harvey Hadden Athletic Stadium,Nottingham,1,,https://midland-athletics.co.uk/disciplines/league/,OUT 23/171,-1.216395,52.968063
Midland Counties League Division 4SE,9-Jul,Jul,North Oxfordshire Academy,Banbury,1,,https://midland-athletics.co.uk/disciplines/league/,OUT 23/172,-1.368062378,52.0729955
Southern Athletics League Divisions 3 Kent,9-Jul,Jul,Julie Rose Stadium,Ashford,1,,https://www.southernathletics.org.uk/,OUT 23/226,0.899562,51.1552996
Southern Athletics League Divisions 3 South,9-Jul,Jul,Julie Rose Stadium,Ashford,1,,https://www.southernathletics.org.uk/,OUT 23/226,0.899562,51.1552996
NatWest International Island Games 2023,9-Jul,Jul,Footes Lane (Garenne Stand),St. Peter Port,2,WA F,https://www.iiga.org/,OUT 23/229,-2.5639734,49.4645552
Midland Counties League Division 4NE,9-Jul,Jul,Wyndley Leisure Centre,Sutton Coldfield,1,,https://midland-athletics.co.uk/disciplines/league/,OUT 23/234,-1.8329144,52.5620004
Midland Counties League Division 2,9-Jul,Jul,Telford Athletics Stadium,Telford,1,,https://midland-athletics.co.uk/disciplines/league/,OUT 23/285,-2.449812,52.7073978
Southern Athletics League Division 1,9-Jul,Jul,Norman Park Athletic Track,Bromley,1,,https://www.southernathletics.org.uk/,OUT 23/341,0.0213125,51.3868125
Southern Athletics League Division 1,9-Jul,Jul,Chelmsford Sport & Athletics Centre,Chelmsford,1,,https://www.southernathletics.org.uk/,OUT 23/341,0.4505023408,51.75319275
Southern Athletics League Division 1,9-Jul,Jul,Salisbury Running Track,Salisbury,1,,https://www.southernathletics.org.uk/,OUT 23/341,-1.8018125,51.0814375
Southern Athletics League Division 3 North - No Pole Vault,9-Jul,Jul,Southend Leisure & Tennis Centre Athletics Track,Southend,1,,https://www.southernathletics.org.uk/,OUT 23/349,0.73458859,51.5546036
Southern Athletics League Division 3 North,9-Jul,Jul,Bedford International Athletics Stadium,Bedford,1,,https://www.southernathletics.org.uk/,OUT 23/349,-0.4418125,52.1336875
Southern Athletics League Division 3 North,9-Jul,Jul,Sandy Sports Centre (Biggleswade),Sandy,1,,https://www.southernathletics.org.uk/,OUT 23/349,-0.2894375,52.1388125
NatWest International Island Games 2023,10-Jul,Jul,Footes Lane (Garenne Stand),St. Peter Port,2,WA F,https://www.iiga.org/,OUT 23/229,-2.5639734,49.4645552
Invicta East Kent AC Open Meeting,10-Jul,Jul,Canterbury High School,Canterbury,1,,https://invictaeastkentac.org.uk/index.php,OUT 23/312,1.0634828,51.2793854
Trafford Grand Prix,11-Jul,Jul,Longford Park Athletics Stadium,Stretford,2,WA F,https://www.traffordac.co.uk/php/index.php?script=home.php,OUT 23/065,-2.28935,53.44636
Derby Athletics Development Association Midweek Opens,11-Jul,Jul,Moorways Athletics Stadium,Derby,1,,,OUT 23/109,-1.457212,52.891228
BMC Gold Standard  - Trafford ,11-Jul,Jul,Longford Park Athletics Stadium,Stretford,2,WA F,https://www.britishmilersclub.com/,OUT 23/125,-2.28935,53.44636
NatWest International Island Games 2023,11-Jul,Jul,Footes Lane (Garenne Stand),St. Peter Port,2,WA F,https://www.iiga.org/,OUT 23/229,-2.5639734,49.4645552
Midland Veterans League - North,12-Jul,Jul,Wyndley Leisure Centre,Sutton Coldfield,1,,https://mvtfl.wordpress.com/,OUT 23/073,-1.8329144,52.5620004
West Yorkshire League,12-Jul,Jul,Thornes Park Athletics Stadium,Wakefield,1,,www.wakefield -harriers.co.uk/wytfl/wyl23index.htm,OUT 23/078,-1.51464,53.67606
Watford Harriers Open Graded Meetings,12-Jul,Jul,Woodside Stadium,Watford,2,WA F,,OUT 23/092,-0.3945440682,51.69587595
Watford Open Field Events,12-Jul,Jul,Woodside Stadium,Watford,1,,,OUT 23/100,-0.3945440682,51.69587595
BMC Watford Gold Standard,12-Jul,Jul,Woodside Stadium,Watford,2,WA F,https://www.britishmilersclub.com/,OUT 23/138,-0.3945440682,51.69587595
North East Grand Prix,12-Jul,Jul,Monkton Stadium,Jarrow,1,,https://necaa.weebly.com/,OUT 23/157,-1.497931582,54.9656323
Southern Counties VAC League - Mid-London Division,12-Jul,Jul,Perivale Park Athletic Track,Perivale,1,,,OUT 23/195,-0.33712,51.532246
NatWest International Island Games 2023,12-Jul,Jul,Footes Lane (Garenne Stand),St. Peter Port,2,WA F,https://www.iiga.org/,OUT 23/229,-2.5639734,49.4645552
BMC Gold Standard Races,12-Jul,Jul,University of Birmingham,Birmingham (U),2,WA F,,OUT 23/303,-1.93012,52.45082
BMC Regional Race,12-Jul,Jul,Paula Radcliffe Athletics Stadium,Loughborough,1,,https://www.britishmilersclub.com/,OUT 23/320,-1.230372,52.769183
NatWest International Island Games 2023,13-Jul,Jul,Footes Lane (Garenne Stand),St. Peter Port,2,WA F,https://www.iiga.org/,OUT 23/229,-2.5639734,49.4645552
NatWest International Island Games 2023,14-Jul,Jul,Footes Lane (Garenne Stand),St. Peter Port,2,WA F,https://www.iiga.org/,OUT 23/229,-2.5639734,49.4645552
Essex County Relay Championships,14-Jul,Jul,Chelmsford Sport & Athletics Centre,Chelmsford,1,,,OUT 23/292,0.4505023408,51.75319275
Reading AC Development League,14-Jul,Jul,Palmer Park Athletic Track,Reading,1,,,OUT 23/305,-0.9696512,51.456659
Humber County AA  Open Series 1,15-Jul,Jul,King George V Stadium,Griomsby,1,,,OUT 23/081,-0.0590485,53.555316
National Athletics League Division 1,15-Jul,Jul,Longford Park Athletics Stadium,Stretford,1,,,OUT 23/193,-2.28935,53.44636
Derbyshire Mini League,15-Jul,Jul,Moorways Athletics Stadium,Derby,1,,,OUT 23/329,-1.457212,52.891228
Cumbria League,15-Jul,Jul,Sheepmount Athletics Stadium,Carlisle,1,,,OUT 23/337,-2.947561,54.902903
Mid Lancs Track & Field League,15-Jul,Jul,Salt Ayre Sports Centre,Lancaster,1,,http://www.midlancs.org.uk/,OUT 23/352,-2.822278792,54.0553877
Kent Young Athletes League Division 1,15-Jul,Jul,Medway Park,Gillingham,1,,,OUT 23/357,0.5410061101,51.3905889
Kent Young Athletes League Division 2,15-Jul,Jul,Medway Park,Gillingham,1,,,OUT 23/357,0.5410061101,51.3905889
Wessex Young Athletes' League,16-Jul,Jul,Tilsley Park Athletics Track,Abingdon,1,,https://www.wessexleaguetandf.co.uk/,OUT 23/038,-1.2779715,51.6714842
Wessex Young Athletes' League,16-Jul,Jul,County Ground Track - Swindon,Swindon,1,,https://www.wessexleaguetandf.co.uk/,OUT 23/038,-1.77101507,51.56446595
